count_first300,count_rest300,feature,jsd_feature,level,share_diff,share_first300,share_rest300,smd,tv_feature
0,28,generation_cell,0.22221832288757049,A_2call_linear_continuation_00,-0.05204460966542751,0.0,0.05204460966542751,,0.39627053603549595
5,16,generation_cell,0.22221832288757049,A_2call_linear_continuation_01,0.05090538433864972,0.08064516129032258,0.02973977695167286,,0.39627053603549595
3,15,generation_cell,0.22221832288757049,A_2call_linear_continuation_03,0.02050605588200024,0.04838709677419355,0.027881040892193308,,0.39627053603549595
2,9,generation_cell,0.22221832288757049,A_2call_linear_continuation_04,0.015529439980813048,0.03225806451612903,0.016728624535315983,,0.39627053603549595
1,13,generation_cell,0.22221832288757049,A_2call_linear_tool_catalog_02,-0.008034536515169687,0.016129032258064516,0.024163568773234202,,0.39627053603549595
0,12,generation_cell,0.22221832288757049,A_2call_linear_tool_catalog_05,-0.022304832713754646,0.0,0.022304832713754646,,0.39627053603549595
1,22,generation_cell,0.22221832288757049,A_3call_fan_in_tool_catalog_01,-0.02476316105048567,0.016129032258064516,0.040892193308550186,,0.39627053603549595
2,21,generation_cell,0.22221832288757049,A_3call_fan_in_variable_pla_00,-0.006775392732941601,0.03225806451612903,0.03903345724907063,,0.39627053603549595
4,12,generation_cell,0.22221832288757049,A_3call_linear_variable_pla_00,0.04221129631850341,0.06451612903225806,0.022304832713754646,,0.39627053603549595
1,7,generation_cell,0.22221832288757049,A_4call_branch_aggregate_tool_catalog_00,0.003117879841707638,0.016129032258064516,0.013011152416356878,,0.39627053603549595
2,21,generation_cell,0.22221832288757049,A_4call_fan_in_variable_pla_00,-0.006775392732941601,0.03225806451612903,0.03903345724907063,,0.39627053603549595
0,10,generation_cell,0.22221832288757049,A_4call_linear_variable_pla_00,-0.01858736059479554,0.0,0.01858736059479554,,0.39627053603549595
0,7,generation_cell,0.22221832288757049,A_5call_branch_aggregate_tool_catalog_00,-0.013011152416356878,0.0,0.013011152416356878,,0.39627053603549595
1,20,generation_cell,0.22221832288757049,A_5call_fan_in_long_horizon_00,-0.021045688931526564,0.016129032258064516,0.03717472118959108,,0.39627053603549595
0,6,generation_cell,0.22221832288757049,A_5call_linear_long_horizon_00,-0.011152416356877323,0.0,0.011152416356877323,,0.39627053603549595
0,11,generation_cell,0.22221832288757049,A_6pcall_branch_aggregate_tool_catalog_00,-0.020446096654275093,0.0,0.020446096654275093,,0.39627053603549595
0,12,generation_cell,0.22221832288757049,A_6pcall_fan_in_long_horizon_00,-0.022304832713754646,0.0,0.022304832713754646,,0.39627053603549595
2,14,generation_cell,0.22221832288757049,A_6pcall_fan_in_tool_catalog_01,0.006235759683415276,0.03225806451612903,0.026022304832713755,,0.39627053603549595
2,13,generation_cell,0.22221832288757049,A_6pcall_fan_in_tool_catalog_02,0.00809449574289483,0.03225806451612903,0.024163568773234202,,0.39627053603549595
3,26,generation_cell,0.22221832288757049,A_6pcall_linear_long_horizon_00,5.9959227725142616e-05,0.04838709677419355,0.048327137546468404,,0.39627053603549595
3,13,generation_cell,0.22221832288757049,G_2call_linear_continuation_00,0.024223528000959345,0.04838709677419355,0.024163568773234202,,0.39627053603549595
1,15,generation_cell,0.22221832288757049,G_2call_linear_continuation_01,-0.011752008634128792,0.016129032258064516,0.027881040892193308,,0.39627053603549595
7,11,generation_cell,0.22221832288757049,G_2call_linear_continuation_03,0.09245712915217652,0.11290322580645161,0.020446096654275093,,0.39627053603549595
3,13,generation_cell,0.22221832288757049,G_2call_linear_continuation_04,0.024223528000959345,0.04838709677419355,0.024163568773234202,,0.39627053603549595
2,10,generation_cell,0.22221832288757049,G_2call_linear_tool_catalog_02,0.013670703921333491,0.03225806451612903,0.01858736059479554,,0.39627053603549595
0,18,generation_cell,0.22221832288757049,G_3call_fan_in_tool_catalog_01,-0.03345724907063197,0.0,0.03345724907063197,,0.39627053603549595
4,14,generation_cell,0.22221832288757049,G_3call_fan_in_variable_pla_00,0.03849382419954431,0.06451612903225806,0.026022304832713755,,0.39627053603549595
1,16,generation_cell,0.22221832288757049,G_3call_linear_variable_pla_00,-0.013610744693608345,0.016129032258064516,0.02973977695167286,,0.39627053603549595
0,4,generation_cell,0.22221832288757049,G_4call_branch_aggregate_tool_catalog_00,-0.007434944237918215,0.0,0.007434944237918215,,0.39627053603549595
4,18,generation_cell,0.22221832288757049,G_4call_fan_in_variable_pla_00,0.031058879961626096,0.06451612903225806,0.03345724907063197,,0.39627053603549595
1,6,generation_cell,0.22221832288757049,G_4call_linear_variable_pla_00,0.004976615901187193,0.016129032258064516,0.011152416356877323,,0.39627053603549595
0,7,generation_cell,0.22221832288757049,G_5call_branch_aggregate_tool_catalog_00,-0.013011152416356878,0.0,0.013011152416356878,,0.39627053603549595
0,22,generation_cell,0.22221832288757049,G_5call_fan_in_long_horizon_00,-0.040892193308550186,0.0,0.040892193308550186,,0.39627053603549595
1,10,generation_cell,0.22221832288757049,G_5call_linear_long_horizon_00,-0.002458328336731024,0.016129032258064516,0.01858736059479554,,0.39627053603549595
1,12,generation_cell,0.22221832288757049,G_6pcall_branch_aggregate_tool_catalog_00,-0.00617580045569013,0.016129032258064516,0.022304832713754646,,0.39627053603549595
2,20,generation_cell,0.22221832288757049,G_6pcall_fan_in_long_horizon_00,-0.004916656673462048,0.03225806451612903,0.03717472118959108,,0.39627053603549595
0,19,generation_cell,0.22221832288757049,G_6pcall_fan_in_tool_catalog_01,-0.03531598513011153,0.0,0.03531598513011153,,0.39627053603549595
3,15,generation_cell,0.22221832288757049,G_6pcall_linear_long_horizon_00,0.02050605588200024,0.04838709677419355,0.027881040892193308,,0.39627053603549595
29,295,track,0.00469071371589937,A,-0.0805852020625975,0.46774193548387094,0.5483271375464684,,0.08058520206259745
33,243,track,0.00469071371589937,G,0.0805852020625974,0.532258064516129,0.4516728624535316,,0.08058520206259745
27,155,call_bucket,0.03727616032879552,2,0.1473797817484111,0.43548387096774194,0.28810408921933084,,0.15583403285765682
12,103,call_bucket,0.03727616032879552,3,0.0020985729703801304,0.1935483870967742,0.19144981412639406,,0.15583403285765682
8,66,call_bucket,0.03727616032879552,4,0.006355678138865561,0.12903225806451613,0.12267657992565056,,0.15583403285765682
2,72,call_bucket,0.03727616032879552,5,-0.10157093176639884,0.03225806451612903,0.13382899628252787,,0.15583403285765682
13,142,call_bucket,0.03727616032879552,6+,-0.054263101091257954,0.20967741935483872,0.26394052044609667,,0.15583403285765682
2,48,motif,0.025315310206347842,branch_aggregate,-0.05696126633888955,0.03225806451612903,0.08921933085501858,,0.16932485909581485
20,234,motif,0.025315310206347842,fan_in,-0.11236359275692531,0.3225806451612903,0.4349442379182156,,0.16932485909581485
40,256,motif,0.025315310206347842,linear,0.16932485909581485,0.6451612903225806,0.4758364312267658,,0.16932485909581485
3,19,target_skill,0.035121328815511055,argument_typing,0.01307111164408202,0.04838709677419355,0.03531598513011153,,0.2127353399688212
21,113,target_skill,0.035121328815511055,continuation_after_observation,0.12867250269816521,0.3387096774193548,0.2100371747211896,,0.2127353399688212
10,131,target_skill,0.035121328815511055,long_horizon_planning,-0.08220410121117641,0.16129032258064516,0.24349442379182157,,0.2127353399688212
10,157,target_skill,0.035121328815511055,tool_catalog_search,-0.1305312387576448,0.16129032258064516,0.29182156133828996,,0.2127353399688212
18,118,target_skill,0.035121328815511055,variable_planning,0.07099172562657394,0.2903225806451613,0.21933085501858737,,0.2127353399688212
10,157,target_failure_mode,0.035121328815511055,distractor_confusion,-0.1305312387576448,0.16129032258064516,0.29182156133828996,,0.2127353399688212
3,19,target_failure_mode,0.035121328815511055,numeric_string_confusion,0.01307111164408202,0.04838709677419355,0.03531598513011153,,0.2127353399688212
10,131,target_failure_mode,0.035121328815511055,premature_stop,-0.08220410121117641,0.16129032258064516,0.24349442379182157,,0.2127353399688212
18,118,target_failure_mode,0.035121328815511055,too_few_calls,0.07099172562657394,0.2903225806451613,0.21933085501858737,,0.2127353399688212
21,113,target_failure_mode,0.035121328815511055,wrong_second_tool_after_correct_prefix,0.12867250269816521,0.3387096774193548,0.2100371747211896,,0.2127353399688212
0,1,semantic_program_family,0.9801582796834518,pf_00263e8d32ed,-0.0018587360594795538,0.0,0.0018587360594795538,,0.990706319702593
1,0,semantic_program_family,0.9801582796834518,pf_0029d1a601bd,0.016129032258064516,0.016129032258064516,0.0,,0.990706319702593
0,1,semantic_program_family,0.9801582796834518,pf_009cd2778d55,-0.0018587360594795538,0.0,0.0018587360594795538,,0.990706319702593
0,1,semantic_program_family,0.9801582796834518,pf_00faca2bcf8a,-0.0018587360594795538,0.0,0.0018587360594795538,,0.990706319702593
0,1,semantic_program_family,0.9801582796834518,pf_0147358dc865,-0.0018587360594795538,0.0,0.0018587360594795538,,0.990706319702593
0,1,semantic_program_family,0.9801582796834518,pf_01a24fd606ea,-0.0018587360594795538,0.0,0.0018587360594795538,,0.990706319702593
0,1,semantic_program_family,0.9801582796834518,pf_02d2e0e20f52,-0.0018587360594795538,0.0,0.0018587360594795538,,0.990706319702593
0,1,semantic_program_family,0.9801582796834518,pf_034436023334,-0.0018587360594795538,0.0,0.0018587360594795538,,0.990706319702593
0,1,semantic_program_family,0.9801582796834518,pf_047a4b7ba7c6,-0.0018587360594795538,0.0,0.0018587360594795538,,0.990706319702593
0,1,semantic_program_family,0.9801582796834518,pf_05b1f81525b6,-0.0018587360594795538,0.0,0.0018587360594795538,,0.990706319702593
0,1,semantic_program_family,0.9801582796834518,pf_05dbfb0be615,-0.0018587360594795538,0.0,0.0018587360594795538,,0.990706319702593
0,1,semantic_program_family,0.9801582796834518,pf_05eb76d60890,-0.0018587360594795538,0.0,0.0018587360594795538,,0.990706319702593
0,1,semantic_program_family,0.9801582796834518,pf_0618592c4ce4,-0.0018587360594795538,0.0,0.0018587360594795538,,0.990706319702593
0,1,semantic_program_family,0.9801582796834518,pf_063dfcc11cda,-0.0018587360594795538,0.0,0.0018587360594795538,,0.990706319702593
0,1,semantic_program_family,0.9801582796834518,pf_07cb99d76978,-0.0018587360594795538,0.0,0.0018587360594795538,,0.990706319702593
1,0,semantic_program_family,0.9801582796834518,pf_07d476eb3a4b,0.016129032258064516,0.016129032258064516,0.0,,0.990706319702593
0,1,semantic_program_family,0.9801582796834518,pf_0801c8b76796,-0.0018587360594795538,0.0,0.0018587360594795538,,0.990706319702593
0,1,semantic_program_family,0.9801582796834518,pf_0875d48a092f,-0.0018587360594795538,0.0,0.0018587360594795538,,0.990706319702593
0,1,semantic_program_family,0.9801582796834518,pf_097f48c2e8a5,-0.0018587360594795538,0.0,0.0018587360594795538,,0.990706319702593
0,1,semantic_program_family,0.9801582796834518,pf_09dc2cd06937,-0.0018587360594795538,0.0,0.0018587360594795538,,0.990706319702593
1,0,semantic_program_family,0.9801582796834518,pf_0a357e5fd7a4,0.016129032258064516,0.016129032258064516,0.0,,0.990706319702593
0,1,semantic_program_family,0.9801582796834518,pf_0a972138c7bb,-0.0018587360594795538,0.0,0.0018587360594795538,,0.990706319702593
0,1,semantic_program_family,0.9801582796834518,pf_0af27608050e,-0.0018587360594795538,0.0,0.0018587360594795538,,0.990706319702593
0,1,semantic_program_family,0.9801582796834518,pf_0b2ab8018603,-0.0018587360594795538,0.0,0.0018587360594795538,,0.990706319702593
0,1,semantic_program_family,0.9801582796834518,pf_0b31f99982ce,-0.0018587360594795538,0.0,0.0018587360594795538,,0.990706319702593
1,0,semantic_program_family,0.9801582796834518,pf_0b34f2dc8396,0.016129032258064516,0.016129032258064516,0.0,,0.990706319702593
0,1,semantic_program_family,0.9801582796834518,pf_0b57752cdf95,-0.0018587360594795538,0.0,0.0018587360594795538,,0.990706319702593
1,1,semantic_program_family,0.9801582796834518,pf_0b9fc137be37,0.014270296198584963,0.016129032258064516,0.0018587360594795538,,0.990706319702593
0,1,semantic_program_family,0.9801582796834518,pf_0c0ca4145237,-0.0018587360594795538,0.0,0.0018587360594795538,,0.990706319702593
0,1,semantic_program_family,0.9801582796834518,pf_0c4554520653,-0.0018587360594795538,0.0,0.0018587360594795538,,0.990706319702593
0,1,semantic_program_family,0.9801582796834518,pf_0cffc7d6e980,-0.0018587360594795538,0.0,0.0018587360594795538,,0.990706319702593
0,1,semantic_program_family,0.9801582796834518,pf_0d038f9674fb,-0.0018587360594795538,0.0,0.0018587360594795538,,0.990706319702593
0,1,semantic_program_family,0.9801582796834518,pf_0d0d4c827e0a,-0.0018587360594795538,0.0,0.0018587360594795538,,0.990706319702593
0,1,semantic_program_family,0.9801582796834518,pf_0d577792b6a3,-0.0018587360594795538,0.0,0.0018587360594795538,,0.990706319702593
1,0,semantic_program_family,0.9801582796834518,pf_0e002256fb2a,0.016129032258064516,0.016129032258064516,0.0,,0.990706319702593
0,1,semantic_program_family,0.9801582796834518,pf_0e22dfba1013,-0.0018587360594795538,0.0,0.0018587360594795538,,0.990706319702593
0,2,semantic_program_family,0.9801582796834518,pf_0e81f18e0e72,-0.0037174721189591076,0.0,0.0037174721189591076,,0.990706319702593
0,1,semantic_program_family,0.9801582796834518,pf_0f6771c3879b,-0.0018587360594795538,0.0,0.0018587360594795538,,0.990706319702593
1,0,semantic_program_family,0.9801582796834518,pf_0f9e19302864,0.016129032258064516,0.016129032258064516,0.0,,0.990706319702593
0,1,semantic_program_family,0.9801582796834518,pf_0ff2031af111,-0.0018587360594795538,0.0,0.0018587360594795538,,0.990706319702593
0,1,semantic_program_family,0.9801582796834518,pf_10b08e5e69d4,-0.0018587360594795538,0.0,0.0018587360594795538,,0.990706319702593
0,1,semantic_program_family,0.9801582796834518,pf_112c60b9400a,-0.0018587360594795538,0.0,0.0018587360594795538,,0.990706319702593
0,1,semantic_program_family,0.9801582796834518,pf_115788993783,-0.0018587360594795538,0.0,0.0018587360594795538,,0.990706319702593
0,1,semantic_program_family,0.9801582796834518,pf_1174a64ad755,-0.0018587360594795538,0.0,0.0018587360594795538,,0.990706319702593
1,0,semantic_program_family,0.9801582796834518,pf_11b29a63aec3,0.016129032258064516,0.016129032258064516,0.0,,0.990706319702593
0,1,semantic_program_family,0.9801582796834518,pf_1208e5240192,-0.0018587360594795538,0.0,0.0018587360594795538,,0.990706319702593
0,1,semantic_program_family,0.9801582796834518,pf_122e534b5c31,-0.0018587360594795538,0.0,0.0018587360594795538,,0.990706319702593
