c0_win,d1_win,delta_win,joint_cell,knn_distance,nearest_train_distance,ood_decile,ood_score,outcome,sample_id,train_cell_count
1,1,0,5|fan_in|topo_774030263969|float|diagnostic,0.2533,0.2247,7,0.2361,win_to_win,0fcd0f80-2059-4e14-ba8f-04a89cb13ec8,0
1,1,0,3|linear|topo_1c8dbe1830b2|float|diagnostic,0.2347,0.2318,7,0.2329,win_to_win,100cb8c9-03ec-428f-ad0c-75e2fc296aaa,0
1,1,0,3|fan_in|topo_911586a55488|float|diagnostic,0.118,0.1111,0,0.1139,win_to_win,10994d45-1097-43fa-965c-6cbdd1f7a2a0,0
1,1,0,4|fan_in|topo_5b37b75596d2|float|diagnostic,0.1202,0.1171,1,0.1183,win_to_win,115e0164-7c78-42bc-9fd9-9ef06892325b,0
1,1,0,6+|fan_in|topo_15e3d1d41487|float|diagnostic,0.3408,0.3363,9,0.3381,win_to_win,1163aa42-d931-4ae3-a9af-3800e1200319,0
1,1,0,6+|fan_in|topo_37f1fc553f96|float|diagnostic,0.2262,0.2222,4,0.2238,win_to_win,123ce206-69a4-4901-93c1-ec1089eb8660,0
1,1,0,5|fan_in|topo_5dc2042eea23|float|diagnostic,0.3148,0.2272,8,0.2622,win_to_win,127a6fdd-24ca-4bfb-841c-3e1d9605dc1e,0
0,0,0,5|fan_in|topo_5dc2042eea23|float|diagnostic,0.313,0.2272,8,0.2615,loss_to_loss,12b16d2a-7804-4be3-b278-86320411678e,0
0,0,0,6+|fan_in|topo_2048dd2b78ee|float|diagnostic,0.3143,0.2292,9,0.2632,loss_to_loss,12dc2f74-7b39-4722-a840-bca49488c27e,0
1,1,0,3|fan_in|topo_911586a55488|float|diagnostic,0.118,0.1111,0,0.1139,win_to_win,1310e585-1996-4df5-93f4-9f0b5a0838fd,0
0,0,0,5|fan_in|topo_17d840e0415f|float|diagnostic,0.3148,0.2272,8,0.2622,loss_to_loss,139b3427-bcac-4e67-aa20-de8bd3ad996b,0
1,1,0,2|linear|topo_fdeb50f24873|float|diagnostic,0.1224,0.1204,1,0.1212,win_to_win,13cbad3d-d768-4d4d-bfce-542b6af4c28c,0
0,0,0,2|linear|topo_fdeb50f24873|float|diagnostic,0.1224,0.1204,1,0.1212,loss_to_loss,141c02ac-0e10-4b84-8fee-d2c6d9878ff1,0
