accepted_effective_groups,candidate_prompt_count,dead_group_rate_before_filtering,effective_group_rate_after_filtering,global_step,n_cells_touched,refill_rounds,rejected_groups,rollout_utilization,sampler,sampler_entropy,target_reached
16,32,0.0,1.0,76,153,1,0,1.0,uniform,1.0,True
16,32,0.0588,0.9412,77,153,1,1,0.9412,uniform,1.0,True
16,32,0.0,1.0,78,154,1,0,1.0,uniform,1.0,True
16,32,0.0588,0.9412,79,154,1,1,0.9412,uniform,1.0,True
16,32,0.0,1.0,80,154,1,0,1.0,uniform,1.0,True
16,32,0.0588,0.9412,81,154,1,1,0.9412,uniform,1.0,True
16,32,0.0588,0.9412,82,154,1,1,0.9412,uniform,1.0,True
16,32,0.0,1.0,83,154,1,0,1.0,uniform,1.0,True
16,32,0.0,1.0,84,154,1,0,1.0,uniform,1.0,True
16,32,0.0588,0.9412,85,154,1,1,0.9412,uniform,1.0,True
16,32,0.0588,0.9412,86,154,1,1,0.9412,uniform,1.0,True
16,32,0.0588,0.9412,87,154,1,1,0.9412,uniform,1.0,True
16,32,0.0,1.0,88,154,1,0,1.0,uniform,1.0,True
16,32,0.1111,0.8889,89,155,1,2,0.8889,uniform,1.0,True
16,32,0.0,1.0,90,155,1,0,1.0,uniform,1.0,True
16,32,0.0,1.0,91,155,1,0,1.0,uniform,1.0,True
16,32,0.0,1.0,92,155,1,0,1.0,uniform,1.0,True
16,32,0.0,1.0,93,155,1,0,1.0,uniform,1.0,True
16,32,0.1111,0.8889,94,155,1,2,0.8889,uniform,1.0,True
16,32,0.1111,0.8889,95,155,1,2,0.8889,uniform,1.0,True
16,32,0.0,1.0,96,155,1,0,1.0,uniform,1.0,True
16,32,0.0588,0.9412,97,155,1,1,0.9412,uniform,1.0,True
16,32,0.0,1.0,98,155,1,0,1.0,uniform,1.0,True
16,32,0.0588,0.9412,99,155,1,1,0.9412,uniform,1.0,True
16,32,0.1111,0.8889,100,155,1,2,0.8889,uniform,1.0,True
16,32,0.0,1.0,101,155,1,0,1.0,uniform,1.0,True
16,32,0.0,1.0,102,155,1,0,1.0,uniform,1.0,True
16,32,0.0588,0.9412,103,155,1,1,0.9412,uniform,1.0,True
16,32,0.0,1.0,104,155,1,0,1.0,uniform,1.0,True
16,32,0.0588,0.9412,105,155,1,1,0.9412,uniform,1.0,True
16,32,0.0,1.0,106,155,1,0,1.0,uniform,1.0,True
16,32,0.0588,0.9412,107,155,1,1,0.9412,uniform,1.0,True
16,32,0.0,1.0,108,155,1,0,1.0,uniform,1.0,True
16,32,0.0588,0.9412,109,155,1,1,0.9412,uniform,1.0,True
16,32,0.0,1.0,110,155,1,0,1.0,uniform,1.0,True
16,32,0.0588,0.9412,111,155,1,1,0.9412,uniform,1.0,True
16,32,0.0588,0.9412,112,155,1,1,0.9412,uniform,1.0,True
16,32,0.0,1.0,113,155,1,0,1.0,uniform,1.0,True
16,32,0.0588,0.9412,114,155,1,1,0.9412,uniform,1.0,True
16,32,0.0,1.0,115,155,1,0,1.0,uniform,1.0,True
16,32,0.0,1.0,116,155,1,0,1.0,uniform,1.0,True
16,32,0.0,1.0,117,155,1,0,1.0,uniform,1.0,True
16,32,0.0,1.0,118,155,1,0,1.0,uniform,1.0,True
16,32,0.0,1.0,119,155,1,0,1.0,uniform,1.0,True
16,32,0.0,1.0,120,155,1,0,1.0,uniform,1.0,True
