caveat,dev200,direction,metric,pilot3,pilot4,pilot41,verdict
graph-explicit phrase,0.0,lower_is_better,stages_related_rate,0.0,0.845,0.0,VERIFIED_IMPROVEMENT
dependency disclosure,0.0,lower_is_better,mean_graph_edge_coverage,0.159,1.3643,0.0,VERIFIED_IMPROVEMENT
graph leak class,0.0,lower_is_better,high_or_complete_graph_leak_rate,0.31,0.8833,0.0,VERIFIED_IMPROVEMENT
template concentration,1.0,lower_is_better,top1_skeleton_share,0.0017,0.0017,0.001,VERIFIED_IMPROVEMENT
cell sparsity,0.0,lower_is_better,singleton_cell_rate,0.0,0.3205,0.1029,VERIFIED_IMPROVEMENT
topology coverage,1,higher_is_better,n_topologies,1,139,37,PROFILE_TRADEOFF
repeated skill exposure,200.0,higher_is_better,mean_cell_support,600.0,3.85,14.71,VERIFIED_IMPROVEMENT
call-count leakage,0.0,lower_is_better,call_count_disclosed_rate,0.0,0.845,0.0,VERIFIED_IMPROVEMENT
profile match,,lower_is_better,call_count_tv_to_dev,0.0,1.0,1.0,PROFILE_TRADEOFF
